Date,,Open,High,Low,Close,Adj Close,Logret
1/31/1990,1,25.360001,25.360001,25.360001,25.360001,25.360001,0.167612005
2/28/1990,2,21.99,21.99,21.99,21.99,21.99,-0.061924037
3/30/1990,3,19.73,19.73,19.73,19.73,19.73,-0.047098144
4/30/1990,4,19.52,19.52,19.52,19.52,19.52,-0.004647272
5/31/1990,5,17.370001,17.370001,17.370001,17.370001,17.370001,-0.05067997
6/29/1990,6,15.5,15.5,15.5,15.5,15.5,-0.049468145
7/31/1990,7,21.110001,21.110001,21.110001,21.110001,21.110001,0.134156556
8/31/1990,8,29.9,29.9,29.9,29.9,29.9,0.151182934
9/28/1990,9,29.110001,29.110001,29.110001,29.110001,29.110001,-0.011628968
10/31/1990,10,30.040001,30.040001,30.040001,30.040001,30.040001,0.013657722
11/30/1990,11,22.16,22.16,22.16,22.16,22.16,-0.132130187
12/31/1990,12,26.379999,26.379999,26.379999,26.379999,26.379999,0.075705019
1/31/1991,1,20.91,20.91,20.91,20.91,20.91,-0.100920742
2/28/1991,2,21.23,21.23,21.23,21.23,21.23,0.006595961
3/28/1991,3,16.879999,16.879999,16.879999,16.879999,16.879999,-0.099577578
4/30/1991,4,18.24,18.24,18.24,18.24,18.24,0.033652417
5/31/1991,5,15.93,15.93,15.93,15.93,15.93,-0.058809058
6/28/1991,6,19.549999,19.549999,19.549999,19.549999,19.549999,0.088930964
7/31/1991,7,15.18,15.18,15.18,15.18,15.18,-0.109874968
8/30/1991,8,14.46,14.46,14.46,14.46,14.46,-0.021103479
9/30/1991,9,15.85,15.85,15.85,15.85,15.85,0.039860974
10/31/1991,10,15.48,15.48,15.48,15.48,15.48,-0.01025831
11/29/1991,11,20.26,20.26,20.26,20.26,20.26,0.116868485
12/31/1991,12,19.309999,19.309999,19.309999,19.309999,19.309999,-0.02085719
1/31/1992,1,14.16,17.51,14.12,17.4,17.4,-0.045233003
2/28/1992,2,15.34,17.17,15.34,16.68,16.68,-0.018353202
3/31/1992,3,16.450001,16.559999,15.98,16.18,16.18,-0.013217529
4/30/1992,4,15.86,15.94,15.53,15.53,15.53,-0.017807062
5/29/1992,5,12.77,14.28,12.77,13.86,13.86,-0.049408225
6/30/1992,6,13.66,14.31,13.19,13.35,13.35,-0.016281965
7/31/1992,7,12.55,13.64,12.55,13.17,13.17,-0.005895491
8/31/1992,8,12.66,13.89,12.66,13.58,13.58,0.013313995
9/30/1992,9,13.96,14.89,13.96,14.28,14.28,0.021828437
10/30/1992,10,15.9,16.6,15.57,16.15,16.15,0.053444319
11/30/1992,11,11.38,13.67,11.38,13.01,13.01,-0.09389523
12/31/1992,12,11.87,13.05,11.75,12.57,12.57,-0.014942019
1/29/1993,1,12.49,13.16,12.42,12.42,12.42,-0.005213682
2/26/1993,2,13.47,13.82,13.12,13.16,13.16,0.025134293
3/31/1993,3,12.29,12.9,12.19,12.53,12.53,-0.021304818
4/30/1993,4,11.26,12.67,11.25,12.42,12.42,-0.003829475
5/28/1993,5,13.21,13.86,13.12,13.47,13.47,0.035246
6/30/1993,6,11.22,11.72,10.86,11.26,11.26,-0.077829205
7/30/1993,7,11.54,12.06,10.34,11.73,11.73,0.017759622
8/31/1993,8,12.55,13.1,11.77,11.85,11.85,0.004420338
9/30/1993,9,13.08,13.23,12.54,12.99,12.99,0.039890801
10/29/1993,10,11.8,11.8,10.8,11.46,11.46,-0.054424533
11/30/1993,11,14.12,14.63,13.48,13.76,13.76,0.079433816
12/31/1993,12,10.59,11.66,10.52,11.66,11.66,-0.071919883
1/31/1994,1,10.01,11.2,10.01,10.63,10.63,-0.040165286
2/28/1994,2,15.01,15.21,13.86,14.87,14.87,0.145777704
3/31/1994,3,18.5,21.940001,18.42,20.450001,20.450001,0.138382365
4/29/1994,4,13.05,14.34,13.05,13.77,13.77,-0.171759393
5/31/1994,5,13.39,13.46,12.77,13.03,13.03,-0.023989525
6/30/1994,6,13.92,15.43,13.86,14.97,14.97,0.060277385
7/29/1994,7,11.23,11.74,11.05,11.13,11.13,-0.128726636
8/31/1994,8,11.18,12.43,11.18,11.97,11.97,0.031598986
9/30/1994,9,13.33,14.56,12.85,14.28,14.28,0.076634057
10/31/1994,10,14.73,15.17,14.2,14.56,14.56,0.008433168
11/30/1994,11,15.99,16.870001,15.53,15.95,15.95,0.039599312
12/30/1994,12,12.48,13.48,12.34,13.2,13.2,-0.082186756
1/31/1995,1,12.12,12.25,11.77,11.96,11.96,-0.042842752
2/28/1995,2,12.33,12.39,11.73,11.75,11.75,-0.007693313
3/31/1995,3,13.6,13.79,12.95,13.37,13.37,0.056093541
4/28/1995,4,11.54,12.37,11.51,11.75,11.75,-0.056093541
5/31/1995,5,12.49,12.96,12.05,12.85,12.85,0.038865261
6/30/1995,6,11.07,11.51,10.75,11.38,11.38,-0.052760866
7/31/1995,7,13.22,13.87,13.22,13.49,13.49,0.073869688
8/31/1995,8,11.61,11.95,11.36,11.52,11.52,-0.068559471
9/29/1995,9,12.2,13.25,12.09,12.74,12.74,0.043716949
10/31/1995,10,13.9,14.08,13.43,13.83,13.83,0.035652752
11/30/1995,11,10.9,11.92,10.9,11.58,11.58,-0.077113621
12/29/1995,12,12.59,13.14,12.31,12.52,12.52,0.033895769
1/31/1996,1,12.37,13.04,12.35,12.53,12.53,0.000346742
2/29/1996,2,16.879999,17.389999,16.370001,17.040001,17.040001,0.133518545
3/29/1996,3,18.25,18.879999,18.030001,18.879999,18.879999,0.044532351
4/30/1996,4,15.75,16.01,15.71,15.83,15.83,-0.076521052
5/31/1996,5,15.74,16.290001,15.5,16.07,16.07,0.006534962
6/28/1996,6,13.92,13.92,13.55,13.68,13.68,-0.069929779
7/31/1996,7,19.879999,20.200001,19.27,19.459999,19.459999,0.153056716
8/30/1996,8,16.09,17.25,16.09,17.01,17.01,-0.0584385
9/30/1996,9,16.33,17.08,16.209999,16.950001,16.950001,-0.001534585
10/31/1996,10,18.139999,18.33,17.82,18.110001,18.110001,0.028748746
11/29/1996,11,16.76,18.26,16.68,17.139999,17.139999,-0.023907682
12/31/1996,12,19.860001,20.92,19.799999,20.92,20.92,0.086550888
1/31/1997,1,19.469999,19.469999,19.469999,19.469999,19.469999,-0.031195751
2/28/1997,2,21.549999,21.549999,20.76,21.1,21.1,0.034916526
3/31/1997,3,21.540001,22.440001,21.209999,22.139999,22.139999,0.020895142
4/30/1997,4,20,20.290001,19.200001,20.059999,20.059999,-0.04284669
5/30/1997,5,19.48,19.48,18.85,19.190001,19.190001,-0.01925591
6/30/1997,6,21.469999,21.91,21.34,21.530001,21.530001,0.049969053
7/31/1997,7,21.34,21.98,21.24,21.48,21.48,-0.001009773
8/29/1997,8,24.52,25.059999,24.41,24.76,24.76,0.061716363
9/30/1997,9,22.32,22.91,22.049999,22.91,22.91,-0.033725551
10/31/1997,10,35.080002,37.25,35.02,35.09,35.09,0.185158279
11/28/1997,11,28.040001,28.27,27.030001,27.43,27.43,-0.106957561
12/31/1997,12,24.209999,24.52,23.59,24.01,24.01,-0.057833648
1/30/1998,1,21.67,21.780001,21.049999,21.469999,21.469999,-0.048560136
2/27/1998,2,18.66,18.940001,18.389999,18.549999,18.549999,-0.063488134
3/31/1998,3,24.23,24.35,23.41,24.219999,24.219999,0.11583023
4/30/1998,4,21.16,21.370001,20.51,21.18,21.18,-0.058248165
5/29/1998,5,19.93,21.530001,19.93,21.32,21.32,0.002861245
6/30/1998,6,19.85,19.879999,19.120001,19.709999,19.709999,-0.034100598
7/31/1998,7,22.290001,25.120001,22.110001,24.799999,24.799999,0.099765061
8/31/1998,8,39.740002,45.02,38.799999,44.279999,44.279999,0.251755939
9/30/1998,9,37.16,41.150002,37.099998,40.950001,40.950001,-0.033953686
10/30/1998,10,28.280001,28.709999,27.540001,28.049999,28.049999,-0.164321067
11/30/1998,11,22.790001,26.01,22.790001,26.01,26.01,-0.032792498
12/31/1998,12,23.74,24.76,23.67,24.42,24.42,-0.027394693
1/29/1999,1,27.77,28.549999,25.9,26.25,26.25,0.031383648
2/26/1999,2,28.41,29,27.629999,27.879999,27.879999,0.026163446
3/31/1999,3,22.030001,23.299999,22,23.26,23.26,-0.078683043
4/30/1999,4,24.41,26.469999,23.620001,25.07,25.07,0.032544624
5/28/1999,5,27.26,27.26,25.34,25.389999,25.389999,0.00550835
6/30/1999,6,22.99,23.34,20.799999,21.09,21.09,-0.080586104
7/30/1999,7,23.809999,24.709999,23.290001,24.639999,24.639999,0.067564106
8/31/1999,8,24.41,25.540001,23.74,24.450001,24.450001,-0.003361805
9/30/1999,9,26.15,26.469999,24.84,25.41,25.41,0.016725784
10/29/1999,10,20.629999,22.370001,20.299999,22.200001,22.200001,-0.058651671
11/30/1999,11,23.809999,24.209999,22.860001,24.18,24.18,0.037103303
12/31/1999,12,25.030001,25.200001,24.450001,24.639999,24.639999,0.008184389
1/31/2000,1,26.780001,27.43,24.940001,24.950001,24.950001,0.005429881
2/29/2000,2,23.76,23.879999,23.24,23.370001,23.370001,-0.028411836
3/31/2000,3,24.780001,24.969999,23.440001,24.110001,24.110001,0.013538497
4/28/2000,4,25.620001,26.799999,25.610001,26.200001,26.200001,0.03610408
5/31/2000,5,24.09,24.09,23.23,23.65,23.65,-0.044470163
6/30/2000,6,19.68,19.780001,19.389999,19.540001,19.540001,-0.082906563
7/31/2000,7,20.98,21.17,20.540001,20.74,20.74,0.02588417
8/31/2000,8,17.440001,17.450001,16.639999,16.84,16.84,-0.090466665
9/29/2000,9,19.879999,20.57,19.799999,20.57,20.57,0.086892205
10/31/2000,10,24.77,24.870001,23.370001,23.629999,23.629999,0.060229412
11/30/2000,11,28.639999,31.110001,28.43,29.65,29.65,0.098560994
12/29/2000,12,26.35,26.959999,26.32,26.85,26.85,-0.043080408
1/31/2001,1,22.940001,23.02,21.98,22.02,22.02,-0.086126975
2/28/2001,2,26.370001,28.82,26.049999,28.35,28.35,0.109735749
3/30/2001,3,28.76,29.32,28.299999,28.639999,28.639999,0.004419935
4/30/2001,4,24.209999,25.74,23.9,25.48,25.48,-0.050773575
5/31/2001,5,22.959999,23.16,22.33,22.639999,22.639999,-0.05132302
6/29/2001,6,19.9,19.9,18.83,19.059999,19.059999,-0.07475353
7/31/2001,7,22.309999,22.450001,20.790001,21.620001,21.620001,0.054732836
8/31/2001,8,25.309999,25.469999,24.41,24.92,24.92,0.061692328
9/28/2001,9,33.080002,33.080002,31.74,31.93,31.93,0.107650881
10/31/2001,10,33.119999,33.59,32.27,33.560001,33.560001,0.021623047
11/30/2001,11,25.049999,25.299999,23.6,23.84,23.84,-0.148515714
12/31/2001,12,22.5,23.799999,22.459999,23.799999,23.799999,-0.000729312
1/31/2002,1,22.450001,22.700001,21.09,21.09,21.09,-0.052500359
2/28/2002,2,21.120001,21.59,20.709999,21.59,21.59,0.010176063
3/28/2002,3,17.23,17.51,17.02,17.4,17.4,-0.093703394
4/30/2002,4,24.030001,24.030001,21.639999,21.91,21.91,0.100093129
5/31/2002,5,20.26,20.26,19.43,19.98,19.98,-0.040046894
6/28/2002,6,25.74,25.879999,24.879999,25.4,25.4,0.104238233
7/31/2002,7,32.779999,33.68,32.029999,32.029999,32.029999,0.100723208
8/30/2002,8,33.639999,33.639999,31.93,32.639999,32.639999,0.008193212
9/30/2002,9,41.07,41.860001,38.889999,39.689999,39.689999,0.084930951
10/31/2002,10,31.57,31.57,29.690001,31.139999,31.139999,-0.105362494
11/29/2002,11,27.1,27.700001,26.84,27.5,27.5,-0.0539859
12/31/2002,12,29.08,29.620001,28.6,28.620001,28.620001,0.017336951
1/31/2003,1,31.15,31.66,30.610001,31.17,31.17,0.037067158
2/28/2003,2,29.84,29.84,29.059999,29.629999,29.629999,-0.022005165
3/31/2003,3,29.950001,30.209999,28.57,29.15,29.15,-0.007093078
4/30/2003,4,21.040001,21.559999,20.870001,21.209999,21.209999,-0.138097911
5/30/2003,5,19.83,19.83,19.440001,19.469999,19.469999,-0.037174719
6/30/2003,6,19.309999,19.629999,19.209999,19.52,19.52,0.001113884
7/31/2003,7,18.82,19.58,18.360001,19.49,19.49,-0.000667974
8/29/2003,8,18.530001,18.75,18.52,18.629999,18.629999,-0.019599008
9/30/2003,9,22.040001,23.26,22.030001,22.719999,22.719999,0.086195476
10/31/2003,10,16.110001,16.190001,15.79,16.1,16.1,-0.149582432
11/28/2003,11,16.51,16.620001,16.16,16.32,16.32,0.005894278
12/31/2003,12,17.49,18.860001,17.41,18.309999,18.309999,0.049968166
1/30/2004,1,16.549999,17.35,16.549999,16.629999,16.629999,-0.041796097
2/27/2004,2,13.8,14.77,13.8,14.55,14.55,-0.05802923
3/31/2004,3,16.33,16.959999,16.23,16.74,16.74,0.06089246
4/30/2004,4,16.27,17.23,16.139999,17.190001,17.190001,0.011520448
5/28/2004,5,15.44,15.65,15.39,15.5,15.5,-0.044944204
6/30/2004,6,15.27,15.73,14.25,14.34,14.34,-0.033782547
7/30/2004,7,15.85,15.89,15.27,15.32,15.32,0.028709614
8/31/2004,8,15.64,15.85,15.28,15.29,15.29,-0.00085128
9/30/2004,9,13.49,13.67,13.2,13.34,13.34,-0.059251656
10/29/2004,10,15.83,16.290001,14.96,16.27,16.27,0.086231723
11/30/2004,11,13.27,13.38,13.07,13.24,13.24,-0.089499568
12/31/2004,12,12.42,13.29,12.42,13.29,13.29,0.001636996
1/31/2005,1,13.63,13.63,12.79,12.82,12.82,-0.015636956
2/28/2005,2,11.89,12.5,11.73,12.08,12.08,-0.025821091
3/31/2005,3,13.71,14.1,13.57,14.02,14.02,0.064681079
4/29/2005,4,15.75,16.92,15.26,15.31,15.31,0.038227177
5/31/2005,5,12.69,13.45,12.67,13.29,13.29,-0.06145021
6/30/2005,6,11.72,12.1,11.5,12.04,12.04,-0.042898494
7/29/2005,7,10.24,11.73,10.24,11.57,11.57,-0.017293128
8/31/2005,8,13.37,13.63,12.56,12.6,12.6,0.037037186
9/30/2005,9,12.42,12.44,11.92,11.92,11.92,-0.02409429
10/31/2005,10,14.04,15.39,13.93,15.32,15.32,0.10898251
11/30/2005,11,11.84,12.13,11.55,12.06,12.06,-0.103911457
