"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1990","1990","HOUR","Hours","0","Units",,,1534.84364289623,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1991","1991","HOUR","Hours","0","Units",,,1530.32939688771,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1992","1992","HOUR","Hours","0","Units",,,1517.68950806386,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1993","1993","HOUR","Hours","0","Units",,,1513.17526205534,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1994","1994","HOUR","Hours","0","Units",,,1525.81515087919,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1995","1995","HOUR","Hours","0","Units",,,1530.32939688771,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1996","1996","HOUR","Hours","0","Units",,,1531.23224608942,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1997","1997","HOUR","Hours","0","Units",,,1533.03794449282,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1998","1998","HOUR","Hours","0","Units",,,1534.84364289623,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","1999","1999","HOUR","Hours","0","Units",,,1526.7180000809,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1516.78665886216,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1519.49520646727,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1505.95246844171,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1487.89548440764,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1491.28789068089,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1500.34835446828,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1494.2283266653,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1503.6437540545,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1485.75444201503,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1481.51749968989,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1470.68975819232,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1481.98827105935,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1500.75525719473,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1504.71171064181,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1511.55682689085,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1496.47847789237,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1512.78599892733,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1508.98083943803,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1510.4689121158,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1513.03646807871,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1364.63930304438,,
"GBR","United Kingdom","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1486.51284710568,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1990","1990","HOUR","Hours","0","Units",,,1617.59721728214,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1991","1991","HOUR","Hours","0","Units",,,1614.8477602556,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1992","1992","HOUR","Hours","0","Units",,,1582.77076161261,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1993","1993","HOUR","Hours","0","Units",,,1577.27184755953,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1994","1994","HOUR","Hours","0","Units",,,1586.43670431467,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1995","1995","HOUR","Hours","0","Units",,,1586.43670431467,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1996","1996","HOUR","Hours","0","Units",,,1586.43670431467,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1997","1997","HOUR","Hours","0","Units",,,1586.43670431467,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1998","1998","HOUR","Hours","0","Units",,,1581.8542759371,,
"GBR","United Kingdom","TE","Total employment","A","Annual","1999","1999","HOUR","Hours","0","Units",,,1572.68941918196,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,1558.02564837374,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,1562.60807675131,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,1543.36187756551,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,1534.19702081037,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,1533.82364916553,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,1544.03614916964,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,1536.39004010535,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,1541.16885827053,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,1524.92087650892,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,1516.3190038116,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1507.23924929775,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1515.36324017856,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1531.05414767024,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1533.51824163557,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1542.21877782007,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1525.12738239767,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1541.27530613615,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1535.67959843546,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1536.17570701615,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1537.04327841863,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1363.76723547926,,
"GBR","United Kingdom","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1497.37546260946,,
